number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
270,243,263,126,226,213,210,276,151,289,321,206,352,276,259,291,246,323,131,355,-14,387,288,325,326,330,239,496,273,189,
270,243,263,126,227,213,216,274,152,293,319,206,350,275,254,291,246,323,122,350,-22,373,288,325,321,330,231,492,273,189,
270,243,263,126,228,214,221,274,157,293,317,205,348,275,251,292,247,324,116,347,-28,364,287,326,309,330,222,492,273,189,
270,243,263,126,228,214,221,274,160,292,315,204,345,274,246,294,247,324,116,345,-28,364,287,327,298,330,214,493,273,188,
270,243,262,126,229,214,222,274,164,291,313,203,341,274,242,296,248,325,125,333,7,381,287,327,284,330,208,490,273,187,
271,243,262,126,229,213,222,273,164,291,310,202,334,276,239,297,251,326,138,321,43,406,287,328,275,326,206,487,273,186,
272,243,261,125,229,213,223,271,175,309,308,202,328,278,239,299,253,327,150,307,81,429,289,328,267,321,205,487,273,185,
272,242,260,125,229,212,223,270,177,321,305,201,321,279,238,301,255,328,150,305,82,432,290,329,261,316,203,482,273,184,
272,242,259,124,228,211,223,269,182,334,303,201,317,279,231,303,255,328,149,304,79,435,290,329,255,314,201,480,273,183,
271,241,258,123,227,210,222,268,184,336,300,200,311,277,229,304,254,328,148,304,78,439,289,330,252,313,195,478,272,182,
271,241,257,122,227,210,222,268,177,333,297,199,307,275,221,304,253,329,147,304,78,437,289,331,252,311,192,474,272,181,
270,241,256,121,226,209,221,268,175,333,295,198,304,274,217,307,251,330,145,303,75,439,287,332,250,308,188,469,271,180,
268,241,256,121,225,208,220,267,175,333,294,197,299,274,217,310,248,331,142,302,73,439,285,334,243,308,180,469,270,180,
267,241,255,120,224,208,219,267,169,325,293,197,294,275,218,313,246,332,139,300,72,438,282,336,223,315,163,478,269,179,
266,241,254,119,224,207,218,266,164,318,292,197,289,276,213,314,244,333,138,300,70,437,280,337,221,310,159,473,268,178,
265,240,253,118,224,206,218,265,159,310,292,196,283,277,213,314,244,333,138,299,70,436,278,337,199,319,145,485,268,177,
265,240,253,117,224,205,218,264,158,308,292,196,278,277,206,313,243,332,138,297,70,434,278,338,185,334,134,503,268,176,
265,240,253,116,224,205,218,264,155,303,292,196,268,275,188,302,243,332,142,297,71,434,278,338,194,339,136,506,268,175,
265,240,253,116,224,205,218,264,155,270,294,196,257,264,174,271,243,336,148,306,72,441,279,340,193,344,136,487,268,175,
265,241,253,115,224,204,218,264,158,234,295,196,245,253,164,237,244,339,153,315,72,449,280,343,169,359,81,479,269,175,
266,241,253,114,224,204,218,263,167,199,297,196,236,240,159,207,244,343,154,327,73,458,281,345,155,373,30,449,269,175,
266,242,254,114,224,203,218,263,179,189,297,196,234,234,158,195,244,343,154,328,72,458,281,345,139,386,-21,419,269,175,
266,242,254,113,223,203,217,262,189,184,298,195,234,228,160,185,244,343,154,341,33,442,281,345,139,387,-21,419,269,174,
266,242,254,112,223,203,217,262,194,182,298,195,234,225,159,183,244,343,154,355,-5,427,282,345,139,387,-21,420,269,174,
266,242,255,111,223,203,217,262,194,182,298,195,236,224,159,186,244,343,155,368,-44,413,282,345,139,388,-21,422,269,174,
266,242,255,111,223,203,217,262,192,183,299,195,238,224,160,183,244,343,155,369,-44,413,282,345,140,388,-21,423,269,174,
266,242,255,111,224,203,217,262,188,185,300,195,241,227,162,189,244,343,156,369,-43,415,282,345,141,388,-19,424,269,174,
267,243,256,112,225,203,211,264,181,198,302,195,245,235,161,199,244,344,160,355,-1,430,282,345,143,389,-16,425,270,175,
268,243,257,113,226,204,200,267,175,210,303,195,250,244,161,215,245,344,161,345,23,443,282,345,143,388,-16,425,271,176,
269,243,258,115,226,205,189,269,164,232,304,196,255,253,161,237,247,339,161,330,62,451,281,341,137,379,-26,408,272,176,
269,242,258,115,227,205,185,270,156,245,304,196,260,259,161,258,247,333,161,315,76,451,280,338,130,369,-36,391,272,177,
269,240,259,116,227,206,185,270,156,243,304,196,267,264,167,282,248,327,157,306,72,446,278,334,122,359,-48,374,273,177,
269,240,259,116,228,206,185,270,163,237,304,196,278,269,182,298,248,327,152,297,72,440,278,334,121,359,-49,373,273,177,
269,240,260,117,228,206,186,270,176,218,304,196,285,270,197,309,248,327,149,297,72,440,278,334,122,358,-48,372,273,177,
269,240,260,117,228,207,186,270,188,198,304,196,288,270,205,310,248,327,149,297,71,439,279,334,122,358,-48,371,273,177,
270,240,261,117,228,207,186,270,188,198,304,196,288,270,206,307,249,327,149,297,71,439,279,334,123,357,-47,370,274,177,
270,239,261,117,229,207,186,270,187,201,305,196,285,267,204,305,249,327,152,294,75,435,280,334,125,357,-46,370,274,177,
270,239,262,118,229,207,187,270,183,208,305,196,283,266,194,295,249,327,159,294,74,438,280,334,127,357,-45,371,275,178,
271,239,262,118,230,207,187,271,177,215,305,196,281,266,185,281,249,327,166,300,74,441,280,334,128,357,-45,372,275,178,
271,239,262,118,230,208,187,271,160,217,306,196,281,265,180,268,250,327,172,315,74,453,281,333,131,357,-44,372,275,178,
272,239,263,118,230,208,188,271,160,217,306,196,282,263,179,256,251,327,176,332,73,467,282,333,135,356,-41,370,276,178,
272,239,263,118,230,208,188,271,164,219,307,196,284,260,184,241,252,326,177,341,71,474,284,332,140,352,-39,366,276,178,
273,239,263,118,231,209,198,274,156,223,309,196,291,257,191,223,252,326,177,343,71,474,287,330,146,349,-28,364,277,179,
273,239,263,118,231,209,209,274,171,250,310,196,297,255,198,209,251,325,189,347,80,471,288,327,151,348,-17,364,277,180,
273,239,263,118,231,210,221,272,171,275,312,196,304,255,207,203,250,323,202,351,90,468,289,324,155,348,-6,367,276,180,
273,239,264,119,230,210,223,271,158,299,313,197,310,255,214,203,249,322,217,354,114,465,289,322,157,348,-4,372,275,181,
272,239,264,119,230,211,223,271,147,299,314,198,315,257,220,203,249,322,223,355,136,465,288,322,158,350,-2,379,274,181,
271,239,263,120,230,211,220,267,148,297,314,200,326,260,231,213,248,322,234,357,185,472,287,321,159,354,0,388,273,182,
271,239,262,120,230,207,213,266,148,296,315,200,334,262,239,224,248,322,245,367,233,505,287,321,162,358,4,398,273,183,
270,239,261,121,229,203,206,267,150,293,315,201,341,265,247,240,248,321,254,375,268,533,287,321,164,361,7,405,272,183,
270,239,259,121,229,199,203,266,150,286,314,201,341,267,249,247,249,321,254,385,268,545,287,321,168,363,11,412,272,184,
270,239,258,121,228,199,199,262,148,279,314,202,342,269,252,254,250,321,257,388,277,550,287,321,174,366,17,422,271,184,
269,240,256,120,227,199,193,255,144,274,314,202,342,270,253,256,251,321,257,390,275,540,287,321,180,369,22,431,269,184,
269,240,254,120,226,200,187,255,142,274,314,202,341,272,258,256,251,321,258,393,275,533,287,321,183,371,25,437,267,185,
267,241,250,119,217,203,183,261,141,267,312,201,339,274,265,252,251,324,262,395,286,529,287,322,185,371,28,443,263,185,
264,242,245,118,208,206,176,271,134,259,310,201,338,277,283,248,249,328,278,400,329,533,288,323,232,372,163,466,259,185,
262,243,242,116,198,208,169,283,125,249,304,201,338,278,298,242,247,331,296,410,379,543,289,325,278,373,297,488,255,185,
260,244,239,114,196,208,158,283,107,242,299,201,339,279,322,238,246,332,312,426,422,570,290,325,325,374,431,508,253,185,
259,244,238,113,194,208,150,281,93,236,296,202,340,280,342,232,245,333,315,437,432,596,291,326,327,374,437,511,252,185,
259,244,237,112,192,208,141,277,80,231,296,202,341,281,363,225,245,333,317,442,438,610,291,326,329,375,443,512,251,185,
259,244,237,111,191,208,136,275,75,228,297,202,343,281,377,221,244,333,317,442,438,610,292,326,332,375,451,512,251,185,
259,244,237,111,190,208,132,274,71,226,297,202,347,282,388,221,244,333,319,441,445,607,292,326,335,375,460,511,251,185,
259,244,237,111,189,208,130,274,69,225,299,202,350,282,397,219,244,333,322,440,453,605,293,326,338,375,470,507,251,185,
259,244,238,111,188,208,129,274,69,224,300,202,352,282,400,219,244,333,323,439,459,605,294,326,341,374,476,504,251,185,
259,244,240,111,188,208,129,275,68,223,302,203,352,282,401,219,244,333,324,439,463,604,294,326,342,373,482,500,251,185,
259,244,242,112,188,208,130,276,69,223,303,203,352,282,401,220,244,333,325,438,465,604,295,326,344,372,487,497,251,185,
259,244,243,113,188,208,134,277,71,225,303,204,351,283,400,225,244,333,327,438,467,601,295,326,345,372,491,494,251,185,
